incident_id,supplier_id,incident_date,severity,incident_type,description,resolution
INC00014,SUP001,2025-06-19,High,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by material availability constraints.",Process controls were strengthened and performance will be monitored in the next review cycle.
INC00015,SUP001,2025-06-11,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside material availability constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00016,SUP001,2025-07-07,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside material availability constraints.,Additional staffing and management oversight were introduced.
INC00017,SUP001,2025-07-12,High,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,Supplier committed to weekly status updates and a corrective action plan.
INC00018,SUP001,2025-07-27,High,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00019,SUP001,2025-08-04,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside material availability constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00020,SUP001,2025-08-11,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and material availability constraints.,Supplier committed to weekly status updates and a corrective action plan.
INC00021,SUP001,2025-10-16,High,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was material availability constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00022,SUP001,2025-11-23,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was material availability constraints.,Additional staffing and management oversight were introduced.
INC00023,SUP001,2025-11-07,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00024,SUP001,2025-12-23,High,System/Integration Issue,Operational processing was delayed by system/integration problems and material availability constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00025,SUP001,2026-01-01,Medium,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",An improvement plan was agreed with fortnightly performance checkpoints.
INC00026,SUP001,2026-02-09,Low,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00027,SUP001,2026-03-13,Medium,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was material availability constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00028,SUP001,2026-03-19,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and material availability constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00029,SUP001,2026-04-17,High,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was material availability constraints.,Supplier committed to weekly status updates and a corrective action plan.
INC00030,SUP001,2026-05-04,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00031,SUP001,2026-05-15,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,Additional staffing and management oversight were introduced.
INC00032,SUP001,2026-05-02,Medium,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was material availability constraints.,Additional staffing and management oversight were introduced.
INC00033,SUP001,2026-06-09,Critical,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was material availability constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00034,SUP001,2026-06-26,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00035,SUP001,2026-06-13,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00036,SUP001,2026-06-21,Medium,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",Additional staffing and management oversight were introduced.
INC00037,SUP002,2025-08-10,Medium,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",An improvement plan was agreed with fortnightly performance checkpoints.
INC00038,SUP002,2025-12-22,Low,Quality Defect,Quality defects increased during the period. Review notes linked the issue to material availability constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00039,SUP002,2026-05-09,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00040,SUP002,2026-06-14,Low,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by material availability constraints.",Supplier committed to weekly status updates and a corrective action plan.
INC00041,SUP003,2025-02-09,Low,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside logistics network disruption.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00042,SUP003,2025-04-25,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported logistics network disruption.,Supplier committed to weekly status updates and a corrective action plan.
INC00043,SUP003,2025-06-13,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and logistics network disruption.,Additional staffing and management oversight were introduced.
INC00044,SUP003,2025-08-22,Critical,Delivery Delay,"Repeated delivery delays were observed, with logistics network disruption cited as a contributing factor.",Process controls were strengthened and performance will be monitored in the next review cycle.
INC00045,SUP003,2025-10-27,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported logistics network disruption.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00046,SUP003,2025-10-21,High,System/Integration Issue,Operational processing was delayed by system/integration problems and logistics network disruption.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00047,SUP003,2026-01-16,High,Delivery Delay,"Repeated delivery delays were observed, with logistics network disruption cited as a contributing factor.",Process controls were strengthened and performance will be monitored in the next review cycle.
INC00048,SUP003,2026-04-25,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported logistics network disruption.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00049,SUP004,2025-02-11,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported warehouse staffing shortage.,Supplier committed to weekly status updates and a corrective action plan.
INC00050,SUP004,2025-02-12,High,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported warehouse staffing shortage.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00051,SUP004,2025-02-03,High,Delivery Delay,"Repeated delivery delays were observed, with warehouse staffing shortage cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00052,SUP004,2025-03-25,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was warehouse staffing shortage.,Supplier committed to weekly status updates and a corrective action plan.
INC00053,SUP004,2025-03-13,Low,Quality Defect,Quality defects increased during the period. Review notes linked the issue to warehouse staffing shortage.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00054,SUP004,2025-03-15,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported warehouse staffing shortage.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00055,SUP004,2025-03-17,Medium,Delivery Delay,"Repeated delivery delays were observed, with warehouse staffing shortage cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00056,SUP004,2025-04-14,Medium,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by warehouse staffing shortage.",Process controls were strengthened and performance will be monitored in the next review cycle.
INC00057,SUP004,2025-05-06,High,Quality Defect,Quality defects increased during the period. Review notes linked the issue to warehouse staffing shortage.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00058,SUP004,2025-08-21,High,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was warehouse staffing shortage.,Additional staffing and management oversight were introduced.
INC00059,SUP004,2025-10-11,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside warehouse staffing shortage.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00060,SUP004,2025-10-20,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported warehouse staffing shortage.,Supplier committed to weekly status updates and a corrective action plan.
INC00061,SUP004,2025-10-07,Critical,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by warehouse staffing shortage.",Supplier committed to weekly status updates and a corrective action plan.
INC00062,SUP004,2025-11-19,Low,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside warehouse staffing shortage.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00063,SUP004,2025-11-25,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported warehouse staffing shortage.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00064,SUP004,2025-12-04,Low,Quality Defect,Quality defects increased during the period. Review notes linked the issue to warehouse staffing shortage.,Supplier committed to weekly status updates and a corrective action plan.
INC00065,SUP004,2026-01-01,Low,Quality Defect,Quality defects increased during the period. Review notes linked the issue to warehouse staffing shortage.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00066,SUP004,2026-01-04,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and warehouse staffing shortage.,Additional staffing and management oversight were introduced.
INC00067,SUP004,2026-01-22,Low,Delivery Delay,"Repeated delivery delays were observed, with warehouse staffing shortage cited as a contributing factor.",Additional staffing and management oversight were introduced.
INC00068,SUP004,2026-02-24,High,System/Integration Issue,Operational processing was delayed by system/integration problems and warehouse staffing shortage.,Supplier committed to weekly status updates and a corrective action plan.
INC00069,SUP004,2026-03-07,Low,System/Integration Issue,Operational processing was delayed by system/integration problems and warehouse staffing shortage.,Additional staffing and management oversight were introduced.
INC00070,SUP004,2026-03-16,High,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside warehouse staffing shortage.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00071,SUP004,2026-03-19,High,System/Integration Issue,Operational processing was delayed by system/integration problems and warehouse staffing shortage.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00072,SUP004,2026-03-07,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was warehouse staffing shortage.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00073,SUP004,2026-03-22,Low,System/Integration Issue,Operational processing was delayed by system/integration problems and warehouse staffing shortage.,Additional staffing and management oversight were introduced.
INC00074,SUP004,2026-04-19,Low,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside warehouse staffing shortage.,Supplier committed to weekly status updates and a corrective action plan.
INC00075,SUP004,2026-04-27,High,Quality Defect,Quality defects increased during the period. Review notes linked the issue to warehouse staffing shortage.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00076,SUP004,2026-04-14,High,System/Integration Issue,Operational processing was delayed by system/integration problems and warehouse staffing shortage.,Additional staffing and management oversight were introduced.
INC00077,SUP004,2026-06-27,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was warehouse staffing shortage.,Additional staffing and management oversight were introduced.
INC00078,SUP006,2026-04-17,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and capacity constraints.,Additional staffing and management oversight were introduced.
INC00079,SUP007,2025-02-21,Medium,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by subcontractor performance issues.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00080,SUP007,2025-02-25,Medium,Delivery Delay,"Repeated delivery delays were observed, with subcontractor performance issues cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00081,SUP007,2025-02-21,Low,System/Integration Issue,Operational processing was delayed by system/integration problems and subcontractor performance issues.,Additional staffing and management oversight were introduced.
INC00082,SUP007,2025-02-10,Low,Delivery Delay,"Repeated delivery delays were observed, with subcontractor performance issues cited as a contributing factor.",Process controls were strengthened and performance will be monitored in the next review cycle.
INC00083,SUP007,2025-03-09,Critical,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by subcontractor performance issues.",Additional staffing and management oversight were introduced.
INC00084,SUP007,2025-03-19,Low,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by subcontractor performance issues.",An improvement plan was agreed with fortnightly performance checkpoints.
INC00085,SUP007,2025-04-08,Medium,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was subcontractor performance issues.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00086,SUP007,2025-04-05,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported subcontractor performance issues.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00087,SUP007,2025-05-13,Medium,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was subcontractor performance issues.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00088,SUP007,2025-05-19,Medium,Delivery Delay,"Repeated delivery delays were observed, with subcontractor performance issues cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00089,SUP007,2025-07-20,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported subcontractor performance issues.,Supplier committed to weekly status updates and a corrective action plan.
INC00090,SUP007,2025-07-09,Low,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside subcontractor performance issues.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00091,SUP007,2025-08-25,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and subcontractor performance issues.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00092,SUP007,2025-08-12,High,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside subcontractor performance issues.,Supplier committed to weekly status updates and a corrective action plan.
INC00093,SUP007,2025-09-12,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was subcontractor performance issues.,Additional staffing and management oversight were introduced.
INC00094,SUP007,2025-09-10,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported subcontractor performance issues.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00095,SUP007,2025-10-20,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside subcontractor performance issues.,Supplier committed to weekly status updates and a corrective action plan.
INC00096,SUP007,2025-10-14,High,System/Integration Issue,Operational processing was delayed by system/integration problems and subcontractor performance issues.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00097,SUP007,2026-01-11,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was subcontractor performance issues.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00098,SUP007,2026-02-16,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported subcontractor performance issues.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00099,SUP007,2026-02-09,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and subcontractor performance issues.,Supplier committed to weekly status updates and a corrective action plan.
INC00100,SUP007,2026-02-13,Low,Quality Defect,Quality defects increased during the period. Review notes linked the issue to subcontractor performance issues.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00101,SUP007,2026-04-14,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported subcontractor performance issues.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00102,SUP007,2026-05-13,Low,Delivery Delay,"Repeated delivery delays were observed, with subcontractor performance issues cited as a contributing factor.",Process controls were strengthened and performance will be monitored in the next review cycle.
INC00103,SUP007,2026-05-25,Low,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside subcontractor performance issues.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00104,SUP007,2026-05-09,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported subcontractor performance issues.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00105,SUP007,2026-05-08,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was subcontractor performance issues.,Supplier committed to weekly status updates and a corrective action plan.
INC00106,SUP007,2026-06-01,High,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was subcontractor performance issues.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00107,SUP007,2026-06-02,High,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was subcontractor performance issues.,Additional staffing and management oversight were introduced.
INC00108,SUP008,2025-09-05,Medium,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by capacity constraints.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00109,SUP008,2026-04-27,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00110,SUP008,2026-05-11,Medium,Quality Defect,Quality defects increased during the period. Review notes linked the issue to capacity constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00111,SUP009,2025-02-01,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was invoice processing errors.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00112,SUP009,2025-03-26,Medium,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by invoice processing errors.",An improvement plan was agreed with fortnightly performance checkpoints.
INC00113,SUP009,2025-07-11,Low,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside invoice processing errors.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00114,SUP009,2026-02-08,High,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported invoice processing errors.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00115,SUP010,2025-01-08,High,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported capacity constraints.,Additional staffing and management oversight were introduced.
INC00116,SUP010,2025-01-04,Low,System/Integration Issue,Operational processing was delayed by system/integration problems and capacity constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00117,SUP010,2025-01-07,Critical,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by capacity constraints.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00118,SUP010,2025-02-15,Low,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00119,SUP010,2025-02-11,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was capacity constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00120,SUP010,2025-02-17,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00121,SUP010,2025-03-15,High,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported capacity constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00122,SUP010,2025-04-08,Medium,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by capacity constraints.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00123,SUP010,2025-04-12,Low,Delivery Delay,"Repeated delivery delays were observed, with capacity constraints cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00124,SUP010,2025-04-14,High,System/Integration Issue,Operational processing was delayed by system/integration problems and capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00125,SUP010,2025-06-18,Critical,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was capacity constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00126,SUP010,2025-06-10,Critical,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was capacity constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00127,SUP010,2025-08-21,Critical,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by capacity constraints.",Additional staffing and management oversight were introduced.
INC00128,SUP010,2025-08-11,Low,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00129,SUP010,2025-09-17,Medium,Delivery Delay,"Repeated delivery delays were observed, with capacity constraints cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00130,SUP010,2025-09-10,Medium,Delivery Delay,"Repeated delivery delays were observed, with capacity constraints cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00131,SUP010,2025-09-03,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00132,SUP010,2025-10-04,Medium,Delivery Delay,"Repeated delivery delays were observed, with capacity constraints cited as a contributing factor.",Additional staffing and management oversight were introduced.
INC00133,SUP010,2025-10-15,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00134,SUP010,2025-10-13,Low,System/Integration Issue,Operational processing was delayed by system/integration problems and capacity constraints.,Additional staffing and management oversight were introduced.
INC00135,SUP010,2025-10-06,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00136,SUP010,2025-11-19,Critical,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00137,SUP010,2025-11-03,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00138,SUP010,2025-11-20,Low,Delivery Delay,"Repeated delivery delays were observed, with capacity constraints cited as a contributing factor.",Additional staffing and management oversight were introduced.
INC00139,SUP010,2025-11-07,Medium,Quality Defect,Quality defects increased during the period. Review notes linked the issue to capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00140,SUP010,2025-12-21,High,Delivery Delay,"Repeated delivery delays were observed, with capacity constraints cited as a contributing factor.",Supplier committed to weekly status updates and a corrective action plan.
INC00141,SUP010,2025-12-14,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was capacity constraints.,Additional staffing and management oversight were introduced.
INC00142,SUP010,2026-01-15,Low,Delivery Delay,"Repeated delivery delays were observed, with capacity constraints cited as a contributing factor.",Supplier committed to weekly status updates and a corrective action plan.
INC00143,SUP010,2026-01-03,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00144,SUP010,2026-02-17,Low,Quality Defect,Quality defects increased during the period. Review notes linked the issue to capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00145,SUP010,2026-02-07,Medium,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by capacity constraints.",An improvement plan was agreed with fortnightly performance checkpoints.
INC00146,SUP010,2026-03-02,Low,Quality Defect,Quality defects increased during the period. Review notes linked the issue to capacity constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00147,SUP010,2026-03-09,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00148,SUP010,2026-03-09,High,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was capacity constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00149,SUP010,2026-04-02,Medium,Quality Defect,Quality defects increased during the period. Review notes linked the issue to capacity constraints.,Additional staffing and management oversight were introduced.
INC00150,SUP010,2026-04-02,Low,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was capacity constraints.,Supplier committed to weekly status updates and a corrective action plan.
INC00151,SUP010,2026-05-04,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside capacity constraints.,Additional staffing and management oversight were introduced.
INC00152,SUP010,2026-05-02,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and capacity constraints.,Supplier committed to weekly status updates and a corrective action plan.
INC00153,SUP010,2026-05-13,High,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was capacity constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00154,SUP010,2026-05-14,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported capacity constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00155,SUP010,2026-06-22,Low,System/Integration Issue,Operational processing was delayed by system/integration problems and capacity constraints.,Additional staffing and management oversight were introduced.
INC00156,SUP011,2025-08-10,Critical,Quality Defect,Quality defects increased during the period. Review notes linked the issue to material availability constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00157,SUP011,2025-08-06,Low,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",Process controls were strengthened and performance will be monitored in the next review cycle.
INC00158,SUP011,2025-10-09,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,Additional staffing and management oversight were introduced.
INC00159,SUP011,2025-11-27,Critical,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00160,SUP011,2025-12-16,Low,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,Supplier committed to weekly status updates and a corrective action plan.
INC00161,SUP011,2025-12-15,Medium,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by material availability constraints.",Additional staffing and management oversight were introduced.
INC00162,SUP011,2026-01-16,High,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside material availability constraints.,Process controls were strengthened and performance will be monitored in the next review cycle.
INC00163,SUP011,2026-01-14,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside material availability constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00164,SUP011,2026-01-08,Low,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by material availability constraints.",An improvement plan was agreed with fortnightly performance checkpoints.
INC00165,SUP011,2026-02-23,Low,System/Integration Issue,Operational processing was delayed by system/integration problems and material availability constraints.,Supplier committed to weekly status updates and a corrective action plan.
