invoice_id,supplier_id,invoice_date,invoice_amount,approved_amount,payment_delay_days,invoice_error_flag
INV000047,SUP001,2025-05-14,403484.19,403484.19,3,0
INV000048,SUP001,2025-05-01,66086.65,66086.65,6,0
INV000049,SUP001,2025-05-02,79840.13,79840.13,5,0
INV000050,SUP001,2025-05-02,76255.14,76255.14,4,0
INV000051,SUP001,2025-05-14,84219.02,84219.02,12,0
INV000052,SUP001,2025-06-27,141095.35,141095.35,8,0
INV000053,SUP001,2025-06-26,201857.77,201857.77,2,0
INV000054,SUP001,2025-06-21,145493.95,145493.95,9,0
INV000055,SUP001,2025-06-19,275097.16,275097.16,6,0
INV000056,SUP001,2025-06-06,308595.9,308595.9,0,0
INV000057,SUP001,2025-06-16,111055.61,111055.61,7,0
INV000058,SUP001,2025-06-22,285509.5,285509.5,1,0
INV000059,SUP001,2025-06-03,118979.39,118979.39,3,0
INV000060,SUP001,2025-06-08,196654.1,196654.1,0,0
INV000061,SUP001,2025-06-13,62177.04,62177.04,1,0
INV000062,SUP001,2025-06-20,159275.98,159275.98,0,0
INV000063,SUP001,2025-06-09,84249.19,84249.19,2,0
INV000064,SUP001,2025-06-03,174531.6,174531.6,3,0
INV000065,SUP001,2025-07-12,119414.97,119414.97,0,0
INV000066,SUP001,2025-07-01,98778.43,98778.43,4,0
INV000067,SUP001,2025-07-15,279177.49,279177.49,4,0
INV000068,SUP001,2025-07-16,66378.8,66378.8,3,0
INV000069,SUP001,2025-07-03,106646.32,106646.32,0,0
INV000070,SUP001,2025-08-12,109094.52,109094.52,2,0
INV000071,SUP001,2025-08-22,149263.95,149263.95,8,0
INV000072,SUP001,2025-08-11,131246.82,131246.82,3,0
INV000073,SUP001,2025-08-25,96930.58,96930.58,12,0
INV000074,SUP001,2025-08-19,121613.24,121613.24,4,0
INV000075,SUP001,2025-08-15,167267.63,167267.63,2,0
INV000076,SUP001,2025-08-09,127643.8,124001.36,2,1
INV000077,SUP001,2025-08-19,194389.56,194389.56,8,0
INV000078,SUP001,2025-08-01,154130.88,154130.88,6,0
INV000079,SUP001,2025-09-16,89695.36,89695.36,9,0
INV000080,SUP001,2025-09-17,48228.91,48228.91,4,0
INV000081,SUP001,2025-09-09,201896.3,201896.3,10,0
INV000082,SUP001,2025-09-26,69302.14,69302.14,6,0
INV000083,SUP001,2025-09-02,116145.97,116145.97,4,0
INV000084,SUP001,2025-09-05,78518.95,78518.95,5,0
INV000085,SUP001,2025-09-09,53000.64,53000.64,0,0
INV000086,SUP001,2025-09-04,219383.62,219383.62,7,0
INV000087,SUP001,2025-09-23,461278.31,461278.31,5,0
INV000088,SUP001,2025-09-12,69108.17,69108.17,4,0
INV000089,SUP001,2025-09-07,153148.04,153148.04,2,0
INV000090,SUP001,2025-09-01,137500.9,137500.9,4,0
INV000091,SUP001,2025-09-26,87131.04,84975.59,2,1
INV000092,SUP001,2025-09-18,203273.93,203273.93,0,0
INV000093,SUP001,2025-10-23,133684.15,133684.15,10,0
INV000094,SUP001,2025-10-09,215051.05,215051.05,4,0
INV000095,SUP001,2025-10-20,105689.53,105689.53,4,0
INV000096,SUP001,2025-10-13,201419.6,201419.6,11,0
INV000097,SUP001,2025-10-19,142788.8,142788.8,1,0
INV000098,SUP001,2025-10-06,64053.61,64053.61,1,0
INV000099,SUP001,2025-10-06,47667.24,47667.24,3,0
INV000100,SUP001,2025-10-16,152493.07,148608.16,2,1
INV000101,SUP001,2025-10-18,133276.07,132183.76,2,1
INV000102,SUP001,2025-11-07,123933.73,123933.73,3,0
INV000103,SUP001,2025-11-18,146092.78,146092.78,12,0
INV000104,SUP001,2025-11-09,262220.91,262220.91,0,0
INV000105,SUP001,2025-11-09,127171.51,127171.51,7,0
INV000106,SUP001,2025-11-04,40877.71,40877.71,6,0
INV000107,SUP001,2025-11-05,63893.92,62144.08,6,1
INV000108,SUP001,2025-11-09,155345.89,155345.89,4,0
INV000109,SUP001,2025-11-09,61811.53,61811.53,10,0
INV000110,SUP001,2025-11-26,94620.26,94620.26,3,0
INV000111,SUP001,2025-12-24,210150.08,210150.08,10,0
INV000112,SUP001,2025-12-27,257427.01,257427.01,1,0
INV000113,SUP001,2025-12-17,82197.24,82197.24,4,0
INV000114,SUP001,2025-12-03,230437.93,230437.93,4,0
INV000115,SUP001,2025-12-02,122137.31,122137.31,7,0
INV000116,SUP001,2025-12-22,136435.32,136435.32,7,0
INV000117,SUP001,2025-12-25,168086.2,168086.2,8,0
INV000118,SUP001,2025-12-21,105262.05,105262.05,6,0
INV000119,SUP001,2025-12-13,208269.5,208269.5,10,0
INV000120,SUP001,2025-12-14,101927.45,101927.45,0,0
INV000121,SUP001,2025-12-25,58476.13,58476.13,12,0
INV000122,SUP001,2025-12-21,83457.52,83457.52,4,0
INV000123,SUP001,2026-01-07,98568.12,98568.12,0,0
INV000124,SUP001,2026-01-07,196125.74,196125.74,10,0
INV000125,SUP001,2026-01-14,156088.24,156088.24,2,0
INV000126,SUP001,2026-01-16,265709.78,265709.78,4,0
INV000127,SUP001,2026-01-24,71098.85,70297.38,11,1
INV000128,SUP001,2026-01-08,128964.45,128964.45,6,0
INV000129,SUP001,2026-01-26,169682.37,166364.76,10,1
INV000130,SUP001,2026-01-03,267472.46,267472.46,2,0
INV000131,SUP001,2026-01-15,198217.43,198217.43,0,0
INV000132,SUP001,2026-01-08,131918.22,131918.22,2,0
INV000133,SUP001,2026-01-19,126022.13,126022.13,14,0
INV000134,SUP001,2026-02-18,284763.25,284763.25,6,0
INV000135,SUP001,2026-02-27,114933.05,114933.05,1,0
INV000136,SUP001,2026-02-01,86751.99,86751.99,11,0
INV000137,SUP001,2026-03-05,87441.67,87441.67,3,0
INV000138,SUP001,2026-03-14,147323.31,147323.31,4,0
INV000139,SUP001,2026-03-24,76213.82,76213.82,9,0
INV000140,SUP001,2026-03-09,114566.2,114566.2,3,0
INV000141,SUP001,2026-03-21,50752.52,49802.41,10,1
INV000142,SUP001,2026-03-17,99984.9,99984.9,5,0
INV000143,SUP001,2026-03-20,143099.48,143099.48,5,0
INV000144,SUP001,2026-03-21,140796.77,140796.77,9,0
INV000145,SUP001,2026-03-13,91074.76,91074.76,3,0
INV000146,SUP001,2026-03-12,61856.43,60237.15,4,1
INV000147,SUP001,2026-04-06,241539.77,241539.77,0,0
INV000148,SUP001,2026-04-21,298757.69,298757.69,7,0
INV000149,SUP001,2026-04-24,215528.08,215528.08,6,0
INV000150,SUP001,2026-04-19,113491.67,113491.67,2,0
INV000151,SUP001,2026-04-12,110407.1,110407.1,3,0
INV000152,SUP001,2026-04-22,218740.61,218740.61,0,0
INV000153,SUP001,2026-04-24,220320.56,220320.56,3,0
INV000154,SUP001,2026-04-18,140640.19,140640.19,7,0
INV000155,SUP001,2026-04-10,83014.24,81049.2,9,1
INV000156,SUP001,2026-04-18,173049.4,168715.48,5,1
INV000157,SUP001,2026-05-01,94266.97,93416.94,2,1
INV000158,SUP001,2026-05-22,135895.09,135895.09,6,0
INV000159,SUP001,2026-05-11,132016.22,132016.22,0,0
INV000160,SUP001,2026-05-25,164720.81,164720.81,10,0
INV000161,SUP001,2026-05-02,125327.62,125327.62,9,0
INV000162,SUP001,2026-05-27,74474.0,72282.99,6,1
INV000163,SUP001,2026-05-20,164266.85,164266.85,12,0
INV000164,SUP001,2026-05-09,52171.63,52171.63,0,0
INV000165,SUP001,2026-06-08,144583.97,144583.97,15,0
INV000166,SUP001,2026-06-12,119887.36,119887.36,3,0
INV000167,SUP001,2026-06-25,90887.2,90887.2,12,0
INV000168,SUP001,2026-06-27,49096.7,49096.7,9,0
INV000169,SUP001,2026-06-16,114260.9,114260.9,10,0
INV000170,SUP001,2026-06-03,170139.42,170139.42,7,0
INV000171,SUP001,2026-06-06,107341.94,107341.94,1,0
INV000172,SUP002,2025-01-22,283539.39,283539.39,1,0
INV000173,SUP002,2025-01-07,415863.17,415863.17,1,0
INV000174,SUP002,2025-01-09,321161.39,321161.39,2,0
INV000175,SUP002,2025-01-14,213252.89,213252.89,3,0
INV000176,SUP002,2025-01-24,356895.21,356895.21,8,0
INV000177,SUP002,2025-01-13,203275.75,203275.75,7,0
INV000178,SUP002,2025-01-13,305802.51,305802.51,11,0
INV000179,SUP002,2025-01-07,158836.72,158836.72,2,0
INV000180,SUP002,2025-01-16,82747.39,82747.39,0,0
INV000181,SUP002,2025-01-20,218580.99,218580.99,7,0
INV000182,SUP002,2025-02-13,290247.83,290247.83,0,0
INV000183,SUP002,2025-02-18,204651.3,204651.3,9,0
INV000184,SUP002,2025-02-16,175502.75,175502.75,11,0
INV000185,SUP002,2025-02-12,129521.77,129521.77,4,0
INV000186,SUP002,2025-02-02,143895.25,143895.25,9,0
INV000187,SUP002,2025-02-13,112333.58,112333.58,0,0
INV000188,SUP002,2025-02-21,414313.41,414313.41,2,0
INV000189,SUP002,2025-03-17,256043.63,256043.63,6,0
INV000190,SUP002,2025-03-10,128336.43,128336.43,2,0
INV000191,SUP002,2025-03-02,101742.76,101742.76,0,0
INV000192,SUP002,2025-03-10,129662.35,129662.35,4,0
INV000193,SUP002,2025-03-21,432598.22,432598.22,3,0
INV000194,SUP002,2025-03-26,300648.88,300648.88,0,0
INV000195,SUP002,2025-03-02,248618.84,248618.84,0,0
INV000196,SUP002,2025-03-09,363811.76,363811.76,0,0
INV000197,SUP002,2025-03-05,117570.74,117570.74,2,0
INV000198,SUP002,2025-03-22,181253.88,181253.88,4,0
INV000199,SUP002,2025-03-11,223455.41,223455.41,0,0
INV000200,SUP002,2025-03-27,95108.16,95108.16,4,0
INV000201,SUP002,2025-04-10,286410.06,286410.06,6,0
INV000202,SUP002,2025-04-07,82063.0,82063.0,0,0
INV000203,SUP002,2025-04-26,159175.37,159175.37,4,0
INV000204,SUP002,2025-04-27,178140.68,178140.68,4,0
INV000205,SUP002,2025-04-15,240352.46,240352.46,5,0
INV000206,SUP002,2025-05-19,194572.54,194572.54,2,0
INV000207,SUP002,2025-05-14,174414.86,174414.86,0,0
INV000208,SUP002,2025-05-05,108357.56,108357.56,3,0
INV000209,SUP002,2025-05-19,138599.48,138599.48,1,0
INV000210,SUP002,2025-05-23,203425.6,203425.6,1,0
INV000211,SUP002,2025-06-16,392515.23,392515.23,4,0
INV000212,SUP002,2025-06-18,251464.48,251464.48,8,0
INV000213,SUP002,2025-06-09,86558.7,86558.7,4,0
INV000214,SUP002,2025-06-01,132702.8,132702.8,6,0
INV000215,SUP002,2025-06-26,144044.64,144044.64,6,0
INV000216,SUP002,2025-06-19,192211.54,192211.54,2,0
INV000217,SUP002,2025-06-07,349937.41,349937.41,0,0
INV000218,SUP002,2025-06-09,200086.59,200086.59,5,0
INV000219,SUP002,2025-06-27,330535.86,330535.86,5,0
INV000220,SUP002,2025-07-18,127503.47,127503.47,2,0
INV000221,SUP002,2025-07-06,224812.11,224812.11,3,0
INV000222,SUP002,2025-07-16,125160.91,125160.91,0,0
INV000223,SUP002,2025-07-05,266063.9,266063.9,6,0
INV000224,SUP002,2025-07-18,168709.98,168709.98,2,0
INV000225,SUP002,2025-07-18,470484.06,470484.06,8,0
INV000226,SUP002,2025-07-10,285818.72,285818.72,8,0
INV000227,SUP002,2025-08-03,132258.65,132258.65,0,0
INV000228,SUP002,2025-08-17,105746.27,105746.27,0,0
INV000229,SUP002,2025-08-07,119047.34,119047.34,7,0
INV000230,SUP002,2025-08-20,254638.29,254638.29,1,0
INV000231,SUP002,2025-08-23,289094.37,289094.37,6,0
INV000232,SUP002,2025-08-13,138672.61,138672.61,0,0
INV000233,SUP002,2025-08-18,104648.46,104648.46,8,0
INV000234,SUP002,2025-08-26,367630.42,367630.42,0,0
INV000235,SUP002,2025-09-24,148996.68,148996.68,11,0
INV000236,SUP002,2025-09-26,148602.44,148602.44,5,0
INV000237,SUP002,2025-09-17,321728.46,321728.46,5,0
INV000238,SUP002,2025-09-20,110935.23,110935.23,4,0
INV000239,SUP002,2025-09-10,207419.95,207419.95,6,0
INV000240,SUP002,2025-09-27,118520.45,118520.45,10,0
INV000241,SUP002,2025-09-08,171732.22,171732.22,0,0
INV000242,SUP002,2025-09-22,501249.31,501249.31,0,0
INV000243,SUP002,2025-09-03,148756.22,148756.22,6,0
INV000244,SUP002,2025-09-08,520954.74,520954.74,6,0
INV000245,SUP002,2025-09-14,181597.5,181597.5,0,0
INV000246,SUP002,2025-09-14,305032.25,305032.25,6,0
INV000247,SUP002,2025-10-08,119631.79,119631.79,2,0
INV000248,SUP002,2025-10-20,146760.95,146760.95,9,0
INV000249,SUP002,2025-10-13,228923.99,228923.99,5,0
INV000250,SUP002,2025-10-20,239353.63,239353.63,3,0
INV000251,SUP002,2025-10-19,142917.14,142917.14,8,0
INV000252,SUP002,2025-10-10,283263.88,283263.88,6,0
INV000253,SUP002,2025-10-23,160632.55,160632.55,4,0
INV000254,SUP002,2025-10-12,116370.28,116370.28,0,0
INV000255,SUP002,2025-10-08,129490.2,129490.2,8,0
INV000256,SUP002,2025-10-03,342813.82,342813.82,4,0
INV000257,SUP002,2025-10-26,149386.48,149386.48,3,0
INV000258,SUP002,2025-11-15,219355.64,219355.64,3,0
INV000259,SUP002,2025-11-14,108963.92,108963.92,5,0
INV000260,SUP002,2025-11-26,274099.58,274099.58,4,0
INV000261,SUP002,2025-11-16,183599.51,183599.51,0,0
INV000262,SUP002,2025-11-13,352599.48,352599.48,12,0
INV000263,SUP002,2025-11-16,207141.03,207141.03,6,0
INV000264,SUP002,2025-11-24,233138.16,233138.16,4,0
INV000265,SUP002,2025-11-22,256144.22,256144.22,1,0
INV000266,SUP002,2025-12-12,193430.81,193430.81,2,0
INV000267,SUP002,2025-12-23,145620.65,145620.65,1,0
INV000268,SUP002,2025-12-10,272007.49,272007.49,9,0
INV000269,SUP002,2025-12-09,349330.33,349330.33,5,0
INV000270,SUP002,2025-12-26,162617.82,162617.82,1,0
INV000271,SUP002,2025-12-27,104484.1,104484.1,0,0
INV000272,SUP002,2025-12-03,136263.54,136263.54,8,0
INV000273,SUP002,2025-12-17,256947.02,256947.02,3,0
INV000274,SUP002,2025-12-14,283302.22,283302.22,3,0
INV000275,SUP002,2025-12-18,189069.37,189069.37,0,0
INV000276,SUP002,2025-12-05,108543.5,108543.5,2,0
INV000277,SUP002,2026-01-25,50116.32,50116.32,2,0
INV000278,SUP002,2026-01-26,241059.68,241059.68,5,0
INV000279,SUP002,2026-01-03,321377.78,321377.78,0,0
INV000280,SUP002,2026-01-19,316891.9,316891.9,0,0
INV000281,SUP002,2026-01-24,257089.12,257089.12,0,0
INV000282,SUP002,2026-02-02,130552.71,130552.71,0,0
INV000283,SUP002,2026-02-17,154340.8,154340.8,4,0
INV000284,SUP002,2026-02-13,127429.07,127429.07,3,0
INV000285,SUP002,2026-02-16,91496.74,91496.74,0,0
INV000286,SUP002,2026-02-16,244574.83,244574.83,0,0
INV000287,SUP002,2026-02-21,162811.01,162811.01,0,0
INV000288,SUP002,2026-02-18,202634.91,202634.91,3,0
INV000289,SUP002,2026-02-22,117720.33,115051.18,5,1
INV000290,SUP002,2026-02-18,159619.89,159619.89,5,0
INV000291,SUP002,2026-02-06,249538.88,249538.88,4,0
INV000292,SUP002,2026-02-23,145516.33,145516.33,6,0
INV000293,SUP002,2026-03-18,254512.16,254512.16,0,0
INV000294,SUP002,2026-03-05,286398.08,286398.08,11,0
INV000295,SUP002,2026-03-27,113478.88,113478.88,0,0
INV000296,SUP002,2026-03-26,272096.59,272096.59,0,0
INV000297,SUP002,2026-03-11,194547.18,194547.18,6,0
INV000298,SUP002,2026-03-15,272994.18,272994.18,7,0
INV000299,SUP002,2026-03-09,269082.61,269082.61,8,0
INV000300,SUP002,2026-03-02,249685.85,249685.85,9,0
INV000301,SUP002,2026-03-08,97100.75,97100.75,1,0
INV000302,SUP002,2026-03-03,213771.78,213771.78,1,0
INV000303,SUP002,2026-03-25,320703.8,320703.8,0,0
INV000304,SUP002,2026-03-05,270359.14,270359.14,0,0
INV000305,SUP002,2026-03-05,714117.77,714117.77,5,0
INV000306,SUP002,2026-03-08,202179.94,202179.94,0,0
INV000307,SUP002,2026-03-13,140918.72,140918.72,0,0
INV000308,SUP002,2026-04-22,491818.24,491818.24,0,0
INV000309,SUP002,2026-04-15,186159.19,186159.19,3,0
INV000310,SUP002,2026-04-10,259980.05,259980.05,2,0
INV000311,SUP002,2026-04-23,147638.56,147638.56,2,0
INV000312,SUP002,2026-04-26,394152.17,394152.17,7,0
INV000313,SUP002,2026-04-18,351713.59,351713.59,6,0
INV000314,SUP002,2026-04-24,196747.49,196747.49,0,0
INV000315,SUP002,2026-04-11,279835.79,279835.79,6,0
INV000316,SUP002,2026-05-21,143037.0,143037.0,4,0
INV000317,SUP002,2026-05-06,167211.86,167211.86,13,0
INV000318,SUP002,2026-05-04,124376.91,124376.91,2,0
INV000319,SUP002,2026-05-22,187144.16,187144.16,3,0
INV000320,SUP002,2026-05-17,166692.29,166692.29,7,0
INV000321,SUP002,2026-05-04,346734.18,346734.18,2,0
INV000322,SUP002,2026-05-14,66353.71,66353.71,7,0
INV000323,SUP002,2026-05-06,303176.85,296949.55,2,1
INV000324,SUP002,2026-05-12,164032.91,164032.91,6,0
INV000325,SUP002,2026-05-02,230570.51,230570.51,1,0
INV000326,SUP002,2026-05-25,75978.58,75978.58,3,0
INV000327,SUP002,2026-05-15,123408.8,123408.8,2,0
INV000328,SUP002,2026-06-06,123951.97,123951.97,4,0
INV000329,SUP002,2026-06-01,184127.15,184127.15,4,0
INV000330,SUP002,2026-06-08,301450.5,301450.5,2,0
INV000331,SUP002,2026-06-15,238252.24,238252.24,5,0
INV000332,SUP002,2026-06-05,250085.71,250085.71,0,0
INV000333,SUP002,2026-06-02,106516.76,106516.76,10,0
INV000334,SUP002,2026-06-03,346511.31,346511.31,7,0
INV000335,SUP002,2026-06-26,75158.32,75158.32,8,0
INV000336,SUP003,2025-01-23,110299.29,110299.29,1,0
INV000337,SUP003,2025-01-17,193639.18,193639.18,0,0
INV000338,SUP003,2025-01-25,165585.95,165585.95,1,0
INV000339,SUP003,2025-01-01,98535.33,98535.33,5,0
INV000340,SUP003,2025-01-11,202803.24,202803.24,2,0
INV000341,SUP003,2025-01-14,205129.55,205129.55,7,0
INV000342,SUP003,2025-01-15,155661.88,155661.88,7,0
INV000343,SUP003,2025-01-20,143092.04,143092.04,12,0
INV000344,SUP003,2025-01-20,412953.37,412953.37,7,0
INV000345,SUP003,2025-01-03,202414.67,202414.67,11,0
INV000346,SUP003,2025-01-01,201740.43,201740.43,6,0
INV000347,SUP003,2025-01-01,155405.1,155405.1,0,0
INV000348,SUP003,2025-01-13,149703.31,149703.31,3,0
INV000349,SUP003,2025-01-11,157183.65,157183.65,0,0
INV000350,SUP003,2025-01-23,124764.82,124764.82,4,0
INV000351,SUP003,2025-02-15,179322.81,179322.81,0,0
INV000352,SUP003,2025-02-06,168916.15,168916.15,0,0
INV000353,SUP003,2025-02-21,294217.05,294217.05,4,0
INV000354,SUP003,2025-02-10,207274.54,207274.54,2,0
INV000355,SUP003,2025-02-06,244294.6,244294.6,4,0
INV000356,SUP003,2025-03-19,163426.34,163426.34,0,0
INV000357,SUP003,2025-03-22,185432.81,185432.81,9,0
INV000358,SUP003,2025-03-13,146848.08,146848.08,1,0
INV000359,SUP003,2025-03-06,271916.41,271916.41,8,0
INV000360,SUP003,2025-03-27,315687.89,315687.89,8,0
INV000361,SUP003,2025-03-21,197761.12,197761.12,0,0
INV000362,SUP003,2025-03-02,368073.67,368073.67,6,0
INV000363,SUP003,2025-03-04,203134.27,203134.27,4,0
INV000364,SUP003,2025-04-27,551919.44,551919.44,6,0
INV000365,SUP003,2025-04-17,230700.76,230700.76,6,0
INV000366,SUP003,2025-04-04,238898.47,238898.47,1,0
INV000367,SUP003,2025-04-15,183161.92,183161.92,0,0
INV000368,SUP003,2025-04-16,246235.5,246235.5,1,0
INV000369,SUP003,2025-04-26,297247.66,297247.66,8,0
INV000370,SUP003,2025-05-02,163477.79,163477.79,0,0
INV000371,SUP003,2025-05-25,139157.68,139157.68,4,0
INV000372,SUP003,2025-05-22,252007.18,252007.18,2,0
INV000373,SUP003,2025-05-10,262346.84,262346.84,1,0
INV000374,SUP003,2025-05-03,70077.6,70077.6,0,0
INV000375,SUP003,2025-05-14,237586.62,237586.62,0,0
INV000376,SUP003,2025-05-09,131938.35,131938.35,8,0
INV000377,SUP003,2025-05-13,418267.22,418267.22,4,0
INV000378,SUP003,2025-05-27,108105.95,108105.95,8,0
INV000379,SUP003,2025-05-05,241306.61,241306.61,4,0
INV000380,SUP003,2025-06-21,183929.96,183929.96,5,0
INV000381,SUP003,2025-06-16,165126.68,165126.68,2,0
INV000382,SUP003,2025-06-02,220829.45,220829.45,4,0
INV000383,SUP003,2025-06-08,234610.64,234610.64,7,0
INV000384,SUP003,2025-06-02,270125.97,270125.97,2,0
INV000385,SUP003,2025-06-03,176747.19,176747.19,2,0
INV000386,SUP003,2025-06-22,90515.13,90515.13,0,0
INV000387,SUP003,2025-06-22,609291.84,609291.84,3,0
INV000388,SUP003,2025-06-24,97812.48,97812.48,4,0
INV000389,SUP003,2025-07-13,154960.65,154960.65,6,0
INV000390,SUP003,2025-07-20,128351.95,128351.95,3,0
INV000391,SUP003,2025-07-06,409451.1,409451.1,0,0
INV000392,SUP003,2025-07-26,163814.75,159492.78,10,1
INV000393,SUP003,2025-07-27,158193.95,158193.95,1,0
INV000394,SUP003,2025-07-10,362167.02,362167.02,3,0
INV000395,SUP003,2025-07-06,112346.26,112346.26,5,0
INV000396,SUP003,2025-07-13,156918.71,156918.71,3,0
INV000397,SUP003,2025-07-06,389210.06,389210.06,0,0
INV000398,SUP003,2025-07-04,164577.89,163104.12,2,1
INV000399,SUP003,2025-08-11,239873.53,239873.53,7,0
INV000400,SUP003,2025-08-04,236904.65,236904.65,0,0
INV000401,SUP003,2025-08-11,615547.68,615547.68,2,0
INV000402,SUP003,2025-08-10,117489.56,117489.56,12,0
INV000403,SUP003,2025-08-08,154943.31,154943.31,4,0
INV000404,SUP003,2025-08-22,542798.89,542798.89,2,0
INV000405,SUP003,2025-09-21,198199.99,198199.99,0,0
INV000406,SUP003,2025-09-27,351217.6,351217.6,4,0
INV000407,SUP003,2025-09-07,342779.06,342779.06,2,0
INV000408,SUP003,2025-09-14,228836.06,228836.06,4,0
INV000409,SUP003,2025-09-07,316702.67,316702.67,4,0
INV000410,SUP003,2025-09-25,95527.89,95527.89,3,0
INV000411,SUP003,2025-09-15,197843.59,197843.59,0,0
INV000412,SUP003,2025-09-10,146570.55,146570.55,4,0
INV000413,SUP003,2025-09-19,193870.3,193870.3,2,0
INV000414,SUP003,2025-10-22,61755.71,61755.71,1,0
INV000415,SUP003,2025-10-22,132969.49,132969.49,6,0
INV000416,SUP003,2025-10-11,312211.42,312211.42,2,0
INV000417,SUP003,2025-10-26,83576.09,83576.09,0,0
INV000418,SUP003,2025-10-13,240492.23,240492.23,1,0
INV000419,SUP003,2025-10-27,126399.08,126399.08,4,0
INV000420,SUP003,2025-10-03,240781.38,240781.38,2,0
INV000421,SUP003,2025-10-04,197202.72,197202.72,8,0
INV000422,SUP003,2025-10-18,210123.77,210123.77,5,0
INV000423,SUP003,2025-10-13,166064.84,166064.84,7,0
INV000424,SUP003,2025-10-24,306508.33,306508.33,5,0
INV000425,SUP003,2025-11-09,219527.26,219527.26,1,0
INV000426,SUP003,2025-11-27,111714.0,111714.0,7,0
INV000427,SUP003,2025-11-21,176989.09,176989.09,7,0
INV000428,SUP003,2025-11-03,103280.26,103280.26,5,0
INV000429,SUP003,2025-11-16,224736.1,224736.1,0,0
INV000430,SUP003,2025-11-14,330547.43,330547.43,0,0
INV000431,SUP003,2025-11-25,117047.83,117047.83,4,0
INV000432,SUP003,2025-11-23,220592.93,220592.93,6,0
INV000433,SUP003,2025-11-03,273585.55,273585.55,12,0
INV000434,SUP003,2025-11-04,222446.42,222446.42,4,0
INV000435,SUP003,2025-11-15,397321.71,397321.71,6,0
INV000436,SUP003,2025-12-04,170823.43,170823.43,4,0
INV000437,SUP003,2025-12-18,138266.77,138266.77,6,0
INV000438,SUP003,2025-12-01,162002.76,162002.76,5,0
INV000439,SUP003,2025-12-07,97610.35,97610.35,5,0
INV000440,SUP003,2025-12-07,218459.95,218459.95,5,0
INV000441,SUP003,2025-12-16,286981.89,286981.89,0,0
INV000442,SUP003,2025-12-16,326953.46,326953.46,7,0
INV000443,SUP003,2025-12-23,144315.77,144315.77,0,0
INV000444,SUP003,2025-12-20,211665.48,211665.48,9,0
INV000445,SUP003,2025-12-02,179520.34,179520.34,0,0
INV000446,SUP003,2026-01-26,329955.14,329955.14,3,0
INV000447,SUP003,2026-01-17,273961.17,273961.17,2,0
INV000448,SUP003,2026-01-09,163521.69,160446.1,4,1
