supplier_id,month,sla_compliance,on_time_delivery_rate,defect_rate,invoice_accuracy,avg_resolution_days,escalation_count,order_fulfillment_rate
SUP006,2025-01-01,96.98,97.8,1.68,99.17,2.32,0,96.34
SUP006,2025-02-01,97.81,96.52,1.38,96.66,1.97,1,95.66
SUP006,2025-03-01,98.32,95.76,0.81,100.0,1.36,0,95.26
SUP006,2025-04-01,98.35,99.48,1.27,98.2,1.62,0,100.0
SUP006,2025-05-01,97.48,96.31,1.71,99.03,1.5,0,95.63
SUP006,2025-06-01,98.19,95.68,0.63,99.88,1.41,0,94.82
SUP006,2025-07-01,97.61,94.59,1.33,99.59,1.96,0,95.21
SUP006,2025-08-01,97.06,95.79,0.93,99.7,2.74,0,94.23
SUP006,2025-09-01,96.26,96.35,1.62,99.1,1.79,0,95.89
SUP006,2025-10-01,95.44,95.24,1.55,99.0,1.94,0,95.04
SUP006,2025-11-01,97.26,96.38,0.52,100.0,1.35,1,96.7
SUP006,2025-12-01,96.74,95.82,1.01,99.5,1.94,1,94.83
SUP006,2026-01-01,94.66,96.11,0.1,99.03,1.7,0,94.66
SUP006,2026-02-01,97.71,96.33,1.47,98.58,1.7,0,96.28
SUP006,2026-03-01,98.7,98.15,0.67,99.78,2.19,0,98.26
SUP006,2026-04-01,96.89,96.68,1.5,98.24,2.01,1,96.09
SUP006,2026-05-01,100.0,95.48,2.01,99.12,1.99,0,94.63
SUP006,2026-06-01,97.3,98.87,0.95,99.91,1.25,0,99.23
SUP007,2025-01-01,92.03,89.26,5.69,91.11,5.64,2,87.71
SUP007,2025-02-01,93.91,88.93,6.61,92.17,5.7,4,89.66
SUP007,2025-03-01,91.65,89.55,5.51,91.95,6.38,4,88.66
SUP007,2025-04-01,92.04,91.56,6.47,92.41,6.25,4,90.02
SUP007,2025-05-01,91.7,91.7,5.72,90.97,5.67,0,91.14
SUP007,2025-06-01,91.67,88.93,6.08,91.07,6.16,0,89.03
SUP007,2025-07-01,89.61,88.69,5.76,93.25,5.79,3,88.74
SUP007,2025-08-01,90.99,88.25,6.63,91.85,5.89,4,88.18
SUP007,2025-09-01,89.05,88.99,6.2,91.47,6.59,3,88.94
SUP007,2025-10-01,89.65,88.06,5.96,92.93,4.17,1,87.85
SUP007,2025-11-01,88.58,85.99,5.43,91.03,7.62,1,85.78
SUP007,2025-12-01,87.76,85.69,5.93,90.89,5.85,4,86.25
SUP007,2026-01-01,90.39,87.46,6.36,91.66,4.95,4,86.15
SUP007,2026-02-01,89.43,89.8,7.09,93.2,5.07,2,90.36
SUP007,2026-03-01,89.38,89.6,5.99,91.09,5.46,1,87.27
SUP007,2026-04-01,90.31,90.24,5.8,91.43,5.44,0,90.84
SUP007,2026-05-01,87.69,85.98,5.42,92.61,5.92,3,85.06
SUP007,2026-06-01,90.24,87.79,6.41,91.98,5.58,5,87.92
SUP008,2025-01-01,97.68,96.82,2.65,99.02,1.5,0,96.75
SUP008,2025-02-01,98.62,96.51,1.57,96.55,2.08,0,95.24
SUP008,2025-03-01,99.46,95.68,1.97,97.42,1.76,0,95.21
SUP008,2025-04-01,99.82,96.19,2.35,98.08,2.76,0,95.73
SUP008,2025-05-01,97.58,95.63,2.16,98.52,2.62,0,93.97
SUP008,2025-06-01,96.99,96.91,1.46,98.02,1.78,0,96.12
SUP008,2025-07-01,96.77,97.57,0.61,96.39,2.76,0,96.87
SUP008,2025-08-01,95.1,95.59,2.9,98.66,2.32,0,95.41
SUP008,2025-09-01,93.88,95.66,2.27,96.74,1.74,0,95.94
SUP008,2025-10-01,96.28,92.51,2.14,98.6,2.02,1,91.03
SUP008,2025-11-01,93.13,94.88,1.15,98.64,1.73,0,93.92
SUP008,2025-12-01,98.73,95.36,2.01,96.81,3.03,0,95.31
SUP008,2026-01-01,97.0,93.99,1.93,98.77,2.41,0,93.59
SUP008,2026-02-01,98.27,93.98,1.21,98.7,2.39,2,92.95
SUP008,2026-03-01,100.0,96.44,1.36,98.34,2.51,0,96.76
SUP008,2026-04-01,100.0,97.25,1.4,98.73,2.12,0,96.3
SUP008,2026-05-01,96.23,97.17,2.85,98.37,1.94,1,96.88
SUP008,2026-06-01,96.99,97.61,0.85,98.69,1.93,0,98.01
SUP009,2025-01-01,99.5,98.31,0.97,98.66,2.48,1,97.52
SUP009,2025-02-01,99.1,97.69,1.96,99.18,3.06,0,97.45
SUP009,2025-03-01,98.57,95.48,1.85,99.0,1.44,1,95.52
SUP009,2025-04-01,100.0,97.16,2.05,96.5,3.5,0,96.8
SUP009,2025-05-01,99.42,95.92,2.45,97.74,2.06,0,95.89
SUP009,2025-06-01,99.26,97.8,2.16,97.99,2.56,1,98.55
SUP009,2025-07-01,99.51,98.84,1.33,99.78,2.9,1,98.51
SUP009,2025-08-01,97.42,97.17,2.57,98.15,1.56,0,95.93
SUP009,2025-09-01,98.12,97.34,1.65,97.26,1.59,0,96.65
SUP009,2025-10-01,97.17,95.69,0.17,97.0,2.98,0,94.9
SUP009,2025-11-01,95.77,98.24,1.72,98.23,3.83,0,97.99
SUP009,2025-12-01,96.98,96.24,2.08,97.92,1.92,0,95.83
SUP009,2026-01-01,100.0,97.18,2.78,98.29,2.87,1,96.31
SUP009,2026-02-01,99.6,97.52,1.09,96.91,1.2,1,96.12
SUP009,2026-03-01,98.74,94.82,1.7,97.87,3.67,1,92.95
SUP009,2026-04-01,99.38,98.6,1.86,98.26,2.74,0,97.39
SUP009,2026-05-01,97.18,98.18,1.9,97.51,2.18,0,98.54
SUP009,2026-06-01,98.06,96.03,1.98,97.08,2.7,0,95.98
SUP010,2025-01-01,91.02,88.93,5.68,92.4,4.32,2,88.38
SUP010,2025-02-01,90.45,89.99,4.72,90.63,5.96,6,89.64
SUP010,2025-03-01,89.55,90.45,6.49,91.81,4.32,3,90.88
SUP010,2025-04-01,92.37,87.84,6.26,90.57,5.18,4,86.25
SUP010,2025-05-01,89.6,86.59,5.43,92.33,6.12,1,86.56
SUP010,2025-06-01,89.08,86.75,5.54,91.28,6.39,3,86.9
SUP010,2025-07-01,87.7,86.85,5.56,90.9,5.97,3,86.07
SUP010,2025-08-01,88.53,85.71,5.23,91.83,6.59,1,84.25
SUP010,2025-09-01,87.99,87.95,5.55,91.68,4.74,2,87.81
SUP010,2025-10-01,86.39,85.22,5.86,91.16,6.15,5,83.81
SUP010,2025-11-01,89.46,85.24,5.8,92.81,6.25,4,84.77
SUP010,2025-12-01,88.31,86.43,6.29,94.02,4.66,1,85.46
SUP010,2026-01-01,88.59,88.63,6.66,91.82,6.71,2,87.26
SUP010,2026-02-01,87.46,86.88,6.11,91.62,6.12,8,85.87
SUP010,2026-03-01,87.36,88.25,5.98,92.54,5.81,5,89.01
SUP010,2026-04-01,89.55,85.93,6.48,91.68,7.61,4,85.25
SUP010,2026-05-01,88.92,88.41,5.7,91.48,4.83,4,87.62
SUP010,2026-06-01,87.71,87.31,5.27,90.7,5.59,1,86.3
SUP011,2025-01-01,95.85,94.39,2.68,96.57,1.4,1,93.74
SUP011,2025-02-01,93.98,95.01,2.06,98.71,1.35,0,95.41
SUP011,2025-03-01,94.59,94.46,1.16,96.8,3.96,0,93.75
SUP011,2025-04-01,95.9,93.67,2.24,94.6,3.15,0,93.98
SUP011,2025-05-01,94.21,92.52,2.39,96.72,1.83,0,93.14
SUP011,2025-06-01,92.46,94.99,3.43,96.12,2.17,0,94.44
SUP011,2025-07-01,92.31,91.48,2.91,95.67,1.89,0,90.25
SUP011,2025-08-01,89.75,90.46,2.6,95.74,2.69,0,89.55
SUP011,2025-09-01,88.97,90.79,2.74,95.0,3.25,0,89.57
SUP011,2025-10-01,88.93,88.51,2.93,94.81,3.86,2,88.83
SUP011,2025-11-01,89.46,87.4,2.98,94.57,2.42,1,87.87
SUP011,2025-12-01,90.09,87.53,5.08,94.52,3.28,3,88.11
SUP011,2026-01-01,89.21,87.17,4.46,95.34,3.36,3,85.78
SUP011,2026-02-01,86.99,88.93,4.33,93.17,3.35,3,88.69
SUP011,2026-03-01,88.39,87.6,3.65,94.27,3.73,3,86.72
SUP011,2026-04-01,88.12,88.0,4.54,92.55,2.11,1,87.36
SUP011,2026-05-01,86.93,88.21,4.65,94.31,3.37,3,88.41
SUP011,2026-06-01,87.39,87.67,5.11,93.03,3.46,2,86.84
SUP012,2025-01-01,98.56,98.25,1.06,100.0,1.07,0,97.74
SUP012,2025-02-01,99.87,96.42,0.48,97.37,1.72,0,96.22
SUP012,2025-03-01,99.92,97.82,1.33,98.76,2.17,0,97.88
SUP012,2025-04-01,99.07,100.0,1.42,97.88,2.16,0,98.37
SUP012,2025-05-01,100.0,99.03,1.29,98.83,2.17,0,98.34
SUP012,2025-06-01,99.87,97.63,0.86,98.04,0.95,0,96.55
SUP012,2025-07-01,100.0,99.82,0.31,99.58,2.7,1,100.0
SUP012,2025-08-01,98.37,96.18,1.31,97.75,2.08,0,96.31
SUP012,2025-09-01,96.46,94.47,1.05,98.53,0.61,0,94.33
SUP012,2025-10-01,96.43,96.44,1.79,99.48,1.61,2,95.82
SUP012,2025-11-01,97.23,97.84,0.77,99.41,2.09,1,99.77
SUP012,2025-12-01,97.35,98.9,1.03,97.83,0.93,1,97.49
SUP012,2026-01-01,98.4,96.41,0.88,98.19,2.31,0,97.29
SUP012,2026-02-01,98.4,97.24,1.91,97.92,2.82,0,97.67
SUP012,2026-03-01,98.38,97.61,0.5,99.08,0.84,1,98.56
SUP012,2026-04-01,98.4,97.58,0.72,100.0,1.74,0,98.5
SUP012,2026-05-01,98.4,98.94,0.64,99.73,0.86,0,98.9
SUP012,2026-06-01,99.05,97.53,1.05,98.81,1.19,0,96.84
SUP013,2025-01-01,96.43,96.96,1.67,97.75,2.27,0,97.54
SUP013,2025-02-01,98.21,93.87,1.92,99.26,2.54,0,93.82
SUP013,2025-03-01,97.66,96.29,1.37,97.77,2.34,0,96.44
SUP013,2025-04-01,96.16,97.24,2.1,98.19,2.88,1,96.49
SUP013,2025-05-01,97.52,95.93,3.02,97.64,1.73,0,95.23
SUP013,2025-06-01,95.71,97.79,1.75,97.11,3.03,0,98.3
SUP013,2025-07-01,98.97,96.79,1.79,99.27,2.31,0,96.81
SUP013,2025-08-01,97.2,96.15,1.81,97.37,2.29,0,96.72
SUP013,2025-09-01,94.54,95.97,0.37,98.16,1.87,1,94.94
SUP013,2025-10-01,95.67,95.28,2.21,97.63,2.9,0,94.54
SUP013,2025-11-01,97.3,96.09,2.85,97.39,1.23,1,95.2
SUP013,2025-12-01,96.65,94.07,2.22,97.02,3.01,0,93.28
SUP013,2026-01-01,97.6,95.29,0.8,97.52,1.43,1,94.57
SUP013,2026-02-01,97.77,95.93,1.7,98.77,2.18,1,95.7
SUP013,2026-03-01,96.0,94.05,1.66,98.05,1.3,0,93.51
SUP013,2026-04-01,95.25,95.54,2.02,98.31,1.39,2,95.12
SUP013,2026-05-01,97.08,95.8,2.06,98.16,2.64,1,95.23
SUP013,2026-06-01,98.23,97.46,1.36,96.55,3.28,1,97.53
SUP014,2025-01-01,97.3,95.95,2.57,97.16,1.64,0,95.14
SUP014,2025-02-01,98.59,98.2,1.91,98.39,2.02,1,97.53
SUP014,2025-03-01,99.2,98.03,1.82,97.35,2.25,0,97.38
SUP014,2025-04-01,100.0,96.74,2.03,98.85,2.27,3,96.52
SUP014,2025-05-01,98.6,98.41,1.98,99.01,2.13,1,97.6
SUP014,2025-06-01,97.19,96.11,1.28,98.75,1.94,0,95.67
SUP014,2025-07-01,98.46,95.52,1.21,98.18,2.62,0,95.66
SUP014,2025-08-01,98.0,95.25,1.51,97.24,3.11,0,94.27
SUP014,2025-09-01,98.36,99.58,0.86,97.41,1.77,0,99.94
SUP014,2025-10-01,96.47,94.24,1.98,98.04,2.54,0,93.25
SUP014,2025-11-01,96.5,98.68,1.93,96.51,1.5,1,98.28
SUP014,2025-12-01,96.68,98.83,2.1,98.58,1.55,0,98.3
SUP014,2026-01-01,97.82,94.2,1.7,98.01,2.05,0,94.14
SUP014,2026-02-01,97.81,97.14,2.13,98.86,1.99,2,96.98
SUP014,2026-03-01,99.22,98.58,2.51,99.42,1.59,0,98.07
SUP014,2026-04-01,98.3,96.57,0.98,98.07,1.66,1,96.95
SUP014,2026-05-01,98.58,97.51,2.12,99.75,2.39,0,97.87
SUP014,2026-06-01,96.54,99.08,1.29,97.16,2.17,1,98.82
SUP015,2025-01-01,90.06,88.17,6.32,92.39,5.37,1,87.72
SUP015,2025-02-01,92.64,88.96,5.77,92.51,4.14,2,88.27
SUP015,2025-03-01,92.76,91.25,4.53,91.32,5.92,0,90.37
SUP015,2025-04-01,92.45,91.36,5.73,90.44,5.51,0,91.73
SUP015,2025-05-01,92.08,91.57,5.94,89.44,4.94,1,92.66
SUP015,2025-06-01,92.4,90.04,6.5,92.08,6.17,4,89.18
SUP015,2025-07-01,91.82,91.12,5.67,92.76,6.51,2,90.86
SUP015,2025-08-01,89.46,87.92,4.4,91.46,6.13,4,86.76
SUP015,2025-09-01,89.97,90.49,5.97,92.17,6.13,2,90.21
SUP015,2025-10-01,89.95,90.17,6.59,91.76,4.22,3,88.87
SUP015,2025-11-01,88.45,86.55,6.12,91.69,5.55,2,85.21
SUP015,2025-12-01,90.67,90.71,5.89,90.05,5.77,3,89.01
SUP015,2026-01-01,90.89,89.97,6.35,91.63,6.05,3,88.5
SUP015,2026-02-01,92.15,91.49,5.48,91.35,6.26,1,90.09
SUP015,2026-03-01,90.11,88.52,6.48,90.73,5.77,4,88.58
SUP015,2026-04-01,90.63,89.59,5.91,92.21,4.87,4,88.19
SUP015,2026-05-01,90.34,86.98,6.47,90.22,6.17,2,86.62
SUP015,2026-06-01,89.28,89.92,5.85,92.31,6.16,4,89.19
SUP016,2025-01-01,92.99,94.02,1.7,98.26,1.31,1,92.43
SUP016,2025-02-01,94.71,93.8,2.66,94.95,1.26,0,92.06
SUP016,2025-03-01,94.81,94.55,3.07,98.3,2.23,0,92.59
SUP016,2025-04-01,93.12,95.37,2.0,96.5,2.53,1,96.21
SUP016,2025-05-01,93.08,93.79,3.23,96.13,2.81,0,94.07
SUP016,2025-06-01,94.22,93.71,4.24,95.74,2.51,2,93.53
SUP016,2025-07-01,93.04,90.67,2.7,95.92,3.59,0,91.64
SUP016,2025-08-01,89.26,89.21,2.32,95.53,2.13,1,89.07
SUP016,2025-09-01,92.14,90.92,3.18,95.09,2.72,3,92.05
SUP016,2025-10-01,90.21,90.45,3.13,96.72,2.48,1,90.03
SUP016,2025-11-01,89.39,89.21,3.88,96.18,3.16,1,88.1
SUP016,2025-12-01,88.39,90.29,4.75,94.78,1.69,1,89.35
SUP016,2026-01-01,89.4,90.09,3.92,95.66,3.94,2,89.83
SUP016,2026-02-01,88.27,90.9,3.89,95.14,3.44,3,91.77
SUP016,2026-03-01,88.46,90.8,3.78,92.86,4.75,0,90.35
SUP016,2026-04-01,87.84,89.5,3.72,95.03,3.87,3,89.69
SUP016,2026-05-01,86.61,85.38,4.47,94.42,3.89,4,85.13
SUP016,2026-06-01,89.09,84.45,4.53,92.38,3.55,4,83.27
SUP017,2025-01-01,98.86,96.61,2.23,98.06,3.68,1,95.95
SUP017,2025-02-01,97.5,93.7,2.58,98.63,3.01,0,93.05
SUP017,2025-03-01,96.66,96.35,1.99,95.84,3.52,1,95.07
SUP017,2025-04-01,96.2,95.9,2.82,97.22,2.76,1,94.91
SUP017,2025-05-01,94.68,97.67,2.94,96.8,1.64,0,96.18
SUP017,2025-06-01,95.13,91.59,3.38,95.6,3.82,0,90.92
SUP017,2025-07-01,95.2,92.01,2.38,95.69,3.48,0,92.85
SUP017,2025-08-01,93.85,91.5,2.83,94.17,2.49,0,90.25
SUP017,2025-09-01,91.17,93.65,2.79,94.91,4.1,0,93.59
SUP017,2025-10-01,91.22,92.65,4.1,94.61,3.06,0,92.94
SUP017,2025-11-01,90.89,90.51,4.04,96.04,2.93,0,89.48
SUP017,2025-12-01,90.03,91.07,3.48,94.11,2.56,1,89.26
SUP017,2026-01-01,89.96,90.59,4.97,93.84,1.96,1,90.1
SUP017,2026-02-01,89.72,90.46,3.25,94.35,3.67,0,90.52
SUP017,2026-03-01,89.74,88.05,3.66,94.4,3.14,1,88.08
SUP017,2026-04-01,90.49,91.39,3.76,94.5,3.32,1,90.48
SUP017,2026-05-01,87.0,89.51,4.81,93.74,4.25,2,90.42
SUP017,2026-06-01,87.92,89.81,3.21,92.7,2.9,5,88.99
SUP018,2025-01-01,97.3,93.86,2.26,98.95,2.35,0,93.04
SUP018,2025-02-01,93.42,96.1,1.74,97.96,2.69,1,95.72
SUP018,2025-03-01,97.08,96.15,1.89,98.83,1.44,0,94.62
SUP018,2025-04-01,95.12,96.34,1.48,97.7,1.57,0,94.37
SUP018,2025-05-01,95.55,94.48,1.08,99.38,1.88,0,94.3
SUP018,2025-06-01,95.62,95.4,3.15,99.11,1.6,0,95.57
SUP018,2025-07-01,94.27,96.64,2.44,98.84,1.87,0,95.54
SUP018,2025-08-01,96.36,94.4,0.91,98.09,2.96,0,93.39
SUP018,2025-09-01,96.0,95.59,2.28,97.44,1.07,1,95.53
SUP018,2025-10-01,94.71,92.14,2.76,98.66,2.74,1,91.84
SUP018,2025-11-01,95.43,94.06,3.25,98.44,1.88,0,94.37
SUP018,2025-12-01,97.64,94.05,2.08,98.85,2.47,1,93.6
SUP018,2026-01-01,95.65,94.73,2.61,97.91,1.65,0,93.35
SUP018,2026-02-01,97.49,96.44,1.66,98.46,1.75,0,95.16
SUP018,2026-03-01,98.01,94.73,1.33,98.09,3.41,0,94.0
SUP018,2026-04-01,95.53,95.29,1.6,97.66,1.83,0,95.21
SUP018,2026-05-01,95.32,97.02,2.21,98.67,1.12,0,95.98
SUP018,2026-06-01,95.52,95.72,1.74,99.47,3.55,0,93.23
SUP019,2025-01-01,96.4,95.53,1.65,97.39,2.42,1,94.07
SUP019,2025-02-01,95.2,93.95,2.92,97.27,3.08,0,94.29
SUP019,2025-03-01,94.21,93.16,2.87,97.4,2.52,0,91.57
SUP019,2025-04-01,94.7,92.51,3.43,96.37,2.79,0,92.73
SUP019,2025-05-01,92.07,93.8,2.25,98.68,2.0,0,92.9
SUP019,2025-06-01,94.68,92.28,3.12,94.56,2.36,0,93.29
SUP019,2025-07-01,92.1,88.38,2.2,95.42,2.31,0,87.64
SUP019,2025-08-01,92.05,91.38,3.67,95.65,3.17,1,91.2
SUP019,2025-09-01,89.79,88.55,3.4,95.38,2.56,1,87.27
SUP019,2025-10-01,89.61,87.89,3.73,94.82,2.11,0,87.82
SUP019,2025-11-01,88.6,88.68,4.04,95.09,2.32,4,87.89
SUP019,2025-12-01,91.05,90.47,4.54,94.07,3.86,1,90.99
SUP019,2026-01-01,87.93,87.45,4.15,95.33,3.49,2,86.25
SUP019,2026-02-01,89.87,89.61,3.36,92.31,2.12,0,89.43
SUP019,2026-03-01,87.4,90.17,4.59,94.32,3.22,3,89.09
SUP019,2026-04-01,89.16,86.12,4.43,93.88,1.73,2,85.53
SUP019,2026-05-01,87.37,89.58,3.44,93.9,3.77,0,89.05
SUP019,2026-06-01,84.48,88.09,3.88,95.35,3.6,2,88.05
SUP020,2025-01-01,89.46,87.08,5.43,91.51,6.81,2,86.37
SUP020,2025-02-01,88.43,88.32,5.52,93.43,5.3,2,87.87
SUP020,2025-03-01,93.44,88.97,4.88,91.35,6.72,1,87.47
SUP020,2025-04-01,92.04,92.67,4.35,92.26,4.71,1,92.38
SUP020,2025-05-01,92.44,93.48,4.91,92.29,5.07,0,93.43
SUP020,2025-06-01,91.02,91.89,5.21,91.15,4.07,1,92.0
SUP020,2025-07-01,91.6,90.54,5.31,91.86,4.29,3,89.76
SUP020,2025-08-01,93.1,91.16,4.88,93.03,4.24,1,90.76
SUP020,2025-09-01,90.98,90.0,4.82,92.96,5.11,1,88.36
SUP020,2025-10-01,93.49,89.73,4.11,93.36,4.4,1,89.61
SUP020,2025-11-01,92.13,91.04,5.16,93.73,6.39,0,90.77
SUP020,2025-12-01,93.65,92.48,4.65,95.39,4.01,2,91.37
SUP020,2026-01-01,95.95,91.84,4.31,92.51,3.67,0,91.71
SUP020,2026-02-01,94.07,94.06,3.93,93.67,5.02,2,92.78
SUP020,2026-03-01,97.51,93.59,4.63,93.58,5.72,2,91.48
SUP020,2026-04-01,97.33,93.65,3.73,94.99,5.13,0,93.11
SUP020,2026-05-01,97.86,95.44,3.2,93.87,4.5,0,93.65
SUP020,2026-06-01,98.04,95.75,4.23,94.14,4.17,0,96.25
SUP021,2025-01-01,96.48,96.16,2.5,97.19,2.89,1,96.24
SUP021,2025-02-01,96.54,96.04,1.95,96.85,2.13,0,96.44
SUP021,2025-03-01,97.32,96.36,2.74,98.19,2.5,1,96.04
SUP021,2025-04-01,95.71,94.06,2.77,97.09,2.62,0,93.37
